tab_index,tag,text,href,xpath,css_selector,accessible_name,accessible_name_source,accessible_name_priority,role,aria_label,aria_labelledby,aria_describedby,aria_hidden,id,class,title,alt,type,value,placeholder,tabindex,position_x,position_y,position_width,position_height,is_visible,is_enabled,screenshot_immediate,screenshot_delayed
28,a,,https://www.bnf.fr/fr/une-question-pensez-sindbad,body/div[1]/div[4]/main[1]/div[3]/div[1]/div[1]/div[1]/div[5]/div[1]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/a[1],a,Une question ? Pensez à SINDBAD !,alt (img enfant),4,,,,,,,,,,,,,,770,2222,439,274,True,True,reports/focus_screenshots/focus_028_1.png,reports/focus_screenshots/focus_028_2.png
29,a,UNE QUESTION ? PENSEZ À SINDBAD !,https://www.bnf.fr/fr/une-question-pensez-sindbad,body/div[1]/div[4]/main[1]/div[3]/div[1]/div[1]/div[1]/div[5]/div[1]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/h3[1]/a[1],a,UNE QUESTION ? PENSEZ À SINDBAD !,text_content,3,,,,,,,,,,,,,,846,2498,288,59,True,True,reports/focus_screenshots/focus_029_1.png,reports/focus_screenshots/focus_029_2.png
30,a,POSER VOS QUESTIONS,https://www.bnf.fr/fr/une-question-pensez-sindbad,body/div[1]/div[4]/main[1]/div[3]/div[1]/div[1]/div[1]/div[5]/div[1]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/div[2]/a[1],a.btn.btn-default.non-break-spaces-class,Une question ? Pensez à SINDBAD ! (Poser vos questions),aria-label,2,,Une question ? Pensez à SINDBAD ! (Poser vos questions),,,,,btn btn-default non-break-spaces-class,,,,,,,870,2676,239,51,True,True,reports/focus_screenshots/focus_030_1.png,reports/focus_screenshots/focus_030_2.png
31,a,,https://www.bnf.fr/fr/actualites/fermeture-de-la-bpi-la-bnf-vous-accueille,body/div[1]/div[4]/main[1]/div[3]/div[1]/div[1]/div[1]/div[5]/div[1]/div[1]/div[2]/div[1]/div[3]/div[1]/div[1]/div[1]/div[1]/a[1],a,Fermeture de la Bpi : la BnF vous accueille,alt (img enfant),4,,,,,,,,,,,,,,1239,2222,439,274,True,True,reports/focus_screenshots/focus_031_1.png,reports/focus_screenshots/focus_031_2.png
32,a,FERMETURE DE LA BPI : LA BNF VOUS ACCUEILLE,https://www.bnf.fr/fr/actualites/fermeture-de-la-bpi-la-bnf-vous-accueille,body/div[1]/div[4]/main[1]/div[3]/div[1]/div[1]/div[1]/div[5]/div[1]/div[1]/div[2]/div[1]/div[3]/div[1]/div[1]/div[1]/div[2]/div[1]/h3[1]/a[1],a,FERMETURE DE LA BPI : LA BNF VOUS ACCUEILLE,text_content,3,,,,,,,,,,,,,,1298,2498,321,91,True,True,reports/focus_screenshots/focus_032_1.png,reports/focus_screenshots/focus_032_2.png
33,a,EN SAVOIR PLUS,https://www.bnf.fr/fr/actualites/fermeture-de-la-bpi-la-bnf-vous-accueille,body/div[1]/div[4]/main[1]/div[3]/div[1]/div[1]/div[1]/div[5]/div[1]/div[1]/div[2]/div[1]/div[3]/div[1]/div[1]/div[1]/div[2]/div[1]/div[2]/a[1],a.btn.btn-purple-2.non-break-spaces-class,Fermeture de la Bpi : la BnF vous accueille (En savoir plus),aria-label,2,,Fermeture de la Bpi : la BnF vous accueille (En savoir plus),,,,,btn btn-purple-2 non-break-spaces-class,,,,,,,1372,2676,173,51,True,True,reports/focus_screenshots/focus_033_1.png,reports/focus_screenshots/focus_033_2.png
34,a,EN SAVOIR PLUS,https://www.bnf.fr/fr/actualites/appel-candidatures-pour-professionnels-etrangers-pour-2026,body/div[1]/div[4]/main[1]/div[3]/div[1]/div[1]/div[1]/div[6]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/a[1],a.link-purple-more,Appel à candidatures pour professionnels étrangers pour 2026 (En savoir plus),aria-label,2,,Appel à candidatures pour professionnels étrangers pour 2026 (En savoir plus),,,,,link-purple-more,,,,,,,448,3099,128,14,True,True,reports/focus_screenshots/focus_034_1.png,reports/focus_screenshots/focus_034_2.png
35,a,EN SAVOIR PLUS,https://www.bnf.fr/fr/actualites/mise-en-ligne-de-10-videos-de-conferences,body/div[1]/div[4]/main[1]/div[3]/div[1]/div[1]/div[1]/div[6]/div[1]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/a[1],a.link-purple-more,Mise en ligne de 10 vidéos de conférences (En savoir plus),aria-label,2,,Mise en ligne de 10 vidéos de conférences (En savoir plus),,,,,link-purple-more,,,,,,,916,3099,128,14,True,True,reports/focus_screenshots/focus_035_1.png,reports/focus_screenshots/focus_035_2.png
36,a,EN SAVOIR PLUS,https://www.bnf.fr/fr/actualites/tutoriel-quelles-ressources-relatives-lhomosexualite-dans-les-collections-de-la-bnf,body/div[1]/div[4]/main[1]/div[3]/div[1]/div[1]/div[1]/div[6]/div[1]/div[1]/div[2]/div[1]/div[3]/div[1]/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/a[1],a.link-purple-more,Tutoriel : Quelles ressources relatives à l’homosexualité dans les collections de la BnF ? (En savoir plus),aria-label,2,,Tutoriel : Quelles ressources relatives à l’homosexualité dans les collections de la BnF ? (En savoir plus),,,,,link-purple-more,,,,,,,1385,3122,128,14,True,True,reports/focus_screenshots/focus_036_1.png,reports/focus_screenshots/focus_036_2.png
37,a,TOUTES LES ACTUALITÉS,https://www.bnf.fr/fr/actualites,body/div[1]/div[4]/main[1]/div[3]/div[1]/div[1]/div[1]/div[6]/div[1]/div[1]/div[3]/a[1],a,TOUTES LES ACTUALITÉS,text_content,3,,,,,,,,,,,,,,302,3209,256,20,True,True,reports/focus_screenshots/focus_037_1.png,reports/focus_screenshots/focus_037_2.png
